Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,Total_Learning_Effort
0.588,0.6,0.0,1.0,0.0,0.5,0.46,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.267,0.526
0.471,0.1,0.0,0.5,0.0,0.667,0.18,0.0,1.0,0.25,0.5,0.5,1.0,0.0,0.667,0.0,0.0,0.133,0.474
0.618,0.95,0.5,0.5,1.0,0.5,0.82,0.5,1.0,0.25,0.5,0.5,1.0,0.5,0.667,0.0,1.0,0.422,0.605
0.765,0.725,0.0,0.5,1.0,0.667,0.96,0.5,1.0,0.125,0.5,0.5,1.0,0.0,0.667,0.0,1.0,0.356,0.711
0.471,0.8,0.5,0.5,1.0,0.333,0.3,0.5,1.0,0.375,0.5,1.0,1.0,0.5,0.667,0.0,0.0,0.333,0.5
0.471,0.7,0.5,0.5,1.0,0.667,0.78,0.5,1.0,0.375,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.356,0.5
0.765,0.6,0.5,0.0,1.0,0.5,0.36,0.0,1.0,0.125,0.0,0.5,0.0,0.5,0.333,0.0,1.0,0.267,0.711
0.647,0.45,0.0,1.0,1.0,0.333,0.0,0.5,1.0,0.125,1.0,1.0,1.0,0.0,0.333,0.0,1.0,0.244,0.605
0.412,0.85,0.5,1.0,0.0,0.333,0.6,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.167,0.0,1.0,0.311,0.368
0.588,0.95,0.5,0.5,1.0,0.667,0.42,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.833,0.0,1.0,0.378,0.526
0.412,0.5,0.0,1.0,0.0,0.667,0.76,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.667,0.0,1.0,0.289,0.474
0.412,0.925,0.5,1.0,1.0,0.333,0.74,0.0,1.0,0.25,0.0,1.0,0.0,0.5,0.333,0.0,1.0,0.356,0.421
0.529,0.575,0.5,0.5,1.0,0.667,0.94,0.0,1.0,0.25,0.5,0.5,1.0,1.0,0.667,0.0,1.0,0.333,0.526
0.176,0.55,0.5,0.5,1.0,0.667,0.44,0.5,1.0,0.25,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.244,0.211
0.206,0.45,0.5,1.0,1.0,0.667,0.48,0.5,1.0,0.125,0.0,0.5,0.0,0.5,0.667,0.0,1.0,0.222,0.211
